"","program_name","description","leisure_arts_dum","academics_dum","community_service_dum","professional_skill_dum"
"1","Hack the Pandemic","<p>Student will engage in a social impact project developing and designing Personal ProtectiveEquipment for first responders, community organizations and neighborhood schools. </p>",0,1,1,0
"2","Virtual Workshops","<p>TechGirlz provides free, hands-on TechShopz (tech workshops)  for middle school girls, grades 5-8. While we usually offer these workshops in person, we've gone virtual! Learn how to build a website, create a voice app for Alexa or Google, maintain your cybersecurity, and so much more! Ask your parents to sign you up here: <a href=""http://www.techgirlz.org/techshopz"">www.techgirlz.org/techshopz</a></p>",0,1,0,1
"3","Art & Science Workshop Series:  Intro to Art!","Join us for a series of virtual workshops on the connections between art and science!  Workshop 1: Intro to Art! What makes it art, and why does science care?",1,1,0,0
"4","The Science of Art Virtual Workshop","Join Shedd Aquarium Teen Learning Lab for a series of virtual workshops on the connections between art and science!  Workshop 2: The Science of Art",1,1,0,0
"5","The Art of Science virtual workshop","Join Shedd Aquarium Teen Learning Lab for a series of virtual workshops on the connections between art and science! Workshop 3: The Art of Science",1,1,0,0
"6","Lab to Life: Art in Your World virtual workshop","Join Shedd Aquarium Teen Learning Lab for a series of virtual workshops on the connections between art and science! Workshop 4 Lab to Life: Art in Your World",1,1,0,0
"7","Albany Park Theater Project: Real Stories / Real Theater","Are you an Albany Park teen, interested in sharing the stories of your community with the world? We invite 14-18 year old teens, based in Albany Park, to devise theater with us in Albany Park Theater Project's online workshops.",1,0,1,0
"8","Career Chat with Museum Staff and Scienctists","Like dinosaurs or care about climate change? Into visual design and want to apply it in a unique setting? Come to career chats to learn about different careers people have at the museum. In this youth led conversation, we put our scientists and staff in the hot seat and get some good advice.",0,1,0,1
"9","STEM@home Live Programs","Build rockets, make models, fly drones!
Register for and join your Project Exploration facilitators for virtual program science sessions on Zoom! Gather materials and complete the activity together with your Project Exploration family on the call and earn points for sharing what you learn with the instructor and other students.",0,1,0,1
"10","Trailblazers Digital Summer Camp","Adventure Stage Chicago’s Trailblazers Summer Camp is a FREE and unique mentoring program that places young people (12-15) with mentors who are professional theater artists. Student participants guide the program’s content with thoughtful assistance from their mentors culminating in an original digital performance at the end of the summer.",1,0,0,1
"11","YWCA STEAM & Youth Development Virtual Programming","Have you ever wondered with Elephant's toothpaste looks like? Would you like to learn how to dissect a diaper? Well, join the YWCA Chicago's TechGYRLS & 3D Youth on Zoom for some fun, cool, and engaging virtual STEAM activities, weekly challenges, Vibe With Me chats and many more youth activities. Activities days and times vary based on age and grade ranges.",1,1,0,1
"12","STEM@home Virtual Field Trips","<p>Love to visit new places and learn new things? Take a trip with PE! Join other PE students and their families as you visit planetariums, zoos, gardens, and museums, virtually! You can also earn points for prizes for every trip you attend--the more you learn, the more you earn. Learn more about our prizes in our <a href=""https://projectexploration.org/explore-store/"" target=""_blank"">Explore Store</a>. Check out our field trip offerings on the <a href=""https://projectexploration.org/stemhome/"" target=""_blank"">STEM@home</a> page. </p>",1,1,0,0
